City,Lat,Lng,Temperature Max,Humidity,Clouds,Wind Speed,Country,Date
Busselton,-33.65,115.3333,50.09,77,92,4.7,AU,1635027095
Jamestown,42.097,-79.2353,46.29,97,90,1.99,US,1635027096
Ushuaia,-54.8,-68.3,33.46,93,75,18.41,AR,1635027096
Erdemli,36.605,34.3084,70.21,38,0,3.27,TR,1635027096
Rikitea,-23.1203,-134.9692,74.88,82,97,20.09,PF,1635027097
Acapulco de Juárez,16.8634,-99.8901,75.02,88,90,12.66,MX,1635027097
Charters Towers,-20.1,146.2667,78.96,56,80,6.69,AU,1635027097
Guilin,25.2819,110.2864,56.79,77,88,4.52,CN,1635027098
Punta Arenas,-53.15,-70.9167,35.71,87,40,26.46,CL,1635027022
Egvekinot,66.3167,-179.1667,10.96,81,100,5.99,RU,1635027098
Rawson,-43.3002,-65.1023,62.01,26,62,10.49,AR,1635027048
Todos Santos,23.45,-110.2167,90.1,75,0,10.0,MX,1635027099
Santa Maria,-29.6842,-53.8069,62.26,96,100,4.38,BR,1635026802
Brufut,13.3814,-16.7518,83.84,61,83,8.39,GM,1635027099
Belomorsk,64.5232,34.7668,28.18,89,100,6.67,RU,1635027100
Kavaratti,10.5669,72.642,80.62,78,84,1.39,IN,1635026801
Sørland,67.667,12.6934,41.94,71,99,10.31,NO,1635027100
Raymondville,26.4815,-97.7831,90.37,60,84,13.65,US,1635027101
Wajir,1.7471,40.0573,80.62,57,4,17.81,KE,1635027101
Cape Canaveral,28.4058,-80.6048,83.07,74,1,6.91,US,1635027101
Doka,13.5167,35.7667,79.32,44,6,6.87,SD,1635027102
Mahébourg,-20.4081,57.7,74.25,75,66,11.43,MU,1635027102
Atuona,-9.8,-139.0333,78.44,76,21,18.03,PF,1635027103
Saint-Philippe,-21.3585,55.7679,74.75,82,65,11.7,RE,1635027103
Ibrā’,22.6906,58.5334,74.66,68,3,4.56,OM,1635027104
Ponta do Sol,32.6667,-17.1,70.43,65,32,7.63,PT,1635026855
Pinyug,60.251,47.7842,37.85,79,95,4.34,RU,1635027104
Saint-Augustin,51.226,-58.6502,40.26,89,100,16.4,CA,1635026861
Saskylakh,71.9167,114.0833,7.74,94,100,15.9,RU,1635027105
Provideniya,64.3833,-173.3,24.48,77,100,8.34,RU,1635027105
Verkhoyansk,67.5447,133.385,4.42,96,100,2.51,RU,1635027106
Hilo,19.7297,-155.09,80.33,72,90,6.91,US,1635027106
New Norfolk,-42.7826,147.0587,49.66,79,100,4.0,AU,1635027106
Cayenne,4.9333,-52.3333,78.1,88,0,0.0,GF,1635027107
Virginia Beach,36.8529,-75.978,70.03,64,20,6.91,US,1635026632
Puerto Ayora,-0.7393,-90.3518,75.16,83,97,9.73,EC,1635027107
Lapua,62.9693,23.0088,28.11,98,77,2.48,FI,1635027108
Mazyr,52.0495,29.2456,42.78,72,97,12.44,BY,1635027108
